name,cwe_id
json8-merge-patch,CWE-1321
json8-merge-patch,CWE-471
json8-merge-patch,CWE-20
jsoneditor,CWE-79
jsoneditor,CWE-697
jsoneditor,CWE-400
jsoneditor,CWE-1333
jsonpointer,CWE-843
jsonpointer,CWE-1321
jsonwebtoken,CWE-327
jsonwebtoken,CWE-327
jsonwebtoken,CWE-347
jsonwebtoken,CWE-287
jsonwebtoken,CWE-20
jsonwebtoken,CWE-20
jsonwebtoken,CWE-287
jspdf,CWE-79
jspdf,CWE-400
jspdf,CWE-79
jspreadsheet-ce,CWE-79
jsrender,CWE-94
jsreport,CWE-829
jsreport,CWE-94
jsreport,CWE-918
jsreport-chrome-pdf,CWE-22
jsrsasign,CWE-347
jsrsasign,CWE-362
jsrsasign,CWE-119
jsrsasign,CWE-347
jsrsasign,CWE-347
jsrsasign,CWE-119
jsrsasign,CWE-347
jsuites,CWE-79
jsuites,CWE-79
jsx-slack,CWE-400
jsx-slack,CWE-400
jsx-slack,CWE-1333
jszip,CWE-22
jszip,CWE-1321
jwt-simple,CWE-20
jwt-simple,CWE-347
karma,CWE-79
karma,CWE-601
kerberos,CWE-427
kerberos,CWE-427
keycloak-connect,CWE-287
keycloak-connect,CWE-253
keycloak-connect,CWE-345
keycloak-connect,CWE-601
keystone,CWE-1255
keystone,CWE-20
keystone,CWE-79
keystone,CWE-79
keystone,CWE-352
kill-port-process,CWE-77
kill-port-process,CWE-78
killing,CWE-77
kind-of,CWE-668
klona,CWE-1321
klona,CWE-20
knex,CWE-89
knex,CWE-89
koa-remove-trailing-slashes,CWE-601
lactate,CWE-22
larvitbase-api,CWE-829
launchpad,CWE-77
layui,CWE-79
lazysizes,CWE-79
lazysizes,CWE-79
ldapauth-fork,CWE-90
lemonldap-ng-handler,CWE-287
libnmap,CWE-77
libp2p,CWE-400
libp2p,CWE-770
libp2p-secio,CWE-290
libpq,CWE-400
libpq,CWE-704
libxl,CWE-311
libxl,CWE-269
libxmljs,CWE-20
libyaml,CWE-119
lifion-verify-deps,CWE-78
lightning-server,CWE-79
link-preview-js,CWE-918
liquidjs,CWE-200
list-n-stream,CWE-22
lite-dev-server,CWE-22
lite-server,CWE-400
lite-web-server,CWE-400
litespeed.js,CWE-1321
lix,CWE-639
lix,CWE-544
load-from-cwd-or-npm,CWE-506
loader-utils,CWE-400
loader-utils,CWE-1333
loader-utils,CWE-1321
local-devices,CWE-77
localhost-now,CWE-22
localhost-now,CWE-22
localhost-now,CWE-22
lodash.merge,CWE-1321
lodash.merge,CWE-1321
log4js,CWE-276
logkitty,CWE-94
loopback,CWE-200
loopback,CWE-285
loopback-connector-mongodb,CWE-89
loopback-connector-mongodb,CWE-89
loopback-connector-postgresql,CWE-89
loopback-connector-postgresql,CWE-20
lutils,CWE-1321
lutils-merge,CWE-400
luxon,CWE-1333
m.static,CWE-22
macaca-chromedriver,CWE-311
macaca-chromedriver-zxa,CWE-311
madge,CWE-89
madge,CWE-77
madlib-object-utils,CWE-915
madlib-object-utils,CWE-1321
madlib-object-utils,CWE-1321
mapbox.js,CWE-79
mapbox.js,CWE-79
mariadb,CWE-506
marionette-socket-host,CWE-311
marionette-socket-host,CWE-269
markdown-it,CWE-1333
markdown-it,CWE-400
markdown-it,CWE-1333
markdown-it-decorate,CWE-79
markdown-it-highlightjs,CWE-79
markdown-it-toc,CWE-79
markdown-it-toc-and-anchor,CWE-400
markdown-link-extractor,CWE-1333
markdown-nice,CWE-79
markdown-pdf,CWE-22
markdown-pdf,CWE-79
markdown-to-jsx,CWE-79
marked,CWE-400
marked,CWE-400
marked,CWE-1333
marked,CWE-79
marked,CWE-400
marked,CWE-79
marked,CWE-79
marked,CWE-1333
marked,CWE-1333
marked,CWE-79
marked,CWE-400
marked,CWE-1333
marky-markdown,CWE-79
marky-markdown,CWE-79
marsdb,CWE-77
mathjs,CWE-915
mathjs,CWE-88
mathjs,CWE-94
matrix-appservice-bridge,CWE-306
matrix-appservice-bridge,CWE-287
